,date,instrument,action,price,volume
308,2014-09-25 00:00:00,IF,BUY,2450.8,881
309,2014-09-26 00:00:00,rb,BUY_TO_COVER,2592.0,2384
310,2014-09-29 00:00:00,rb,SELL_SHORT,2542.0,715
311,2014-10-08 00:00:00,IF,BUY,2491.0,932
312,2014-10-10 00:00:00,rb,BUY_TO_COVER,2606.0,715
313,2014-10-13 00:00:00,IF,SELL,2454.0,1813
314,2014-10-31 00:00:00,IF,BUY,2527.4,900
315,2014-11-07 00:00:00,IF,SELL,2522.2,900
316,2014-11-10 00:00:00,IF,BUY,2572.2,903
317,2014-11-12 00:00:00,IF,BUY,2588.6,879
318,2014-11-18 00:00:00,rb,SELL_SHORT,2456.0,815
319,2014-11-18 00:00:00,IF,SELL,2548.6,1782
320,2014-11-24 00:00:00,IF,BUY,2683.4,865
321,2014-11-25 00:00:00,IF,BUY,2729.4,861
322,2014-11-26 00:00:00,IF,BUY,2752.2,875
323,2014-12-09 00:00:00,IF,SELL,3166.4,2601
324,2014-12-11 00:00:00,rb,BUY_TO_COVER,2571.0,815
325,2014-12-17 00:00:00,IF,BUY,3512.0,447
326,2014-12-22 00:00:00,IF,SELL,3419.4,447
327,2014-12-29 00:00:00,i,BUY_TO_COVER,498.0,6746
328,2014-12-29 00:00:00,IF,BUY,3503.8,375
329,2014-12-31 00:00:00,IF,BUY,3643.8,383
330,2015-01-05 00:00:00,IF,BUY,3701.4,377
331,2015-01-08 00:00:00,IF,SELL,3615.4,1135
332,2015-03-04 00:00:00,i,SELL_SHORT,464.0,4820
333,2015-03-06 00:00:00,rb,SELL_SHORT,2446.0,1366
334,2015-03-06 00:00:00,i,SELL_SHORT,453.0,4719
335,2015-03-10 00:00:00,rb,SELL_SHORT,2416.0,1416
336,2015-03-12 00:00:00,rb,BUY_TO_COVER,2452.0,2782
337,2015-03-12 00:00:00,i,BUY_TO_COVER,462.0,9539
338,2015-03-17 00:00:00,i,SELL_SHORT,446.0,4639
339,2015-03-18 00:00:00,i,SELL_SHORT,438.0,4607
340,2015-03-18 00:00:00,IF,BUY,3876.4,473
341,2015-03-20 00:00:00,i,SELL_SHORT,431.0,4619
342,2015-03-20 00:00:00,IF,BUY,3966.2,497
343,2015-03-23 00:00:00,i,BUY_TO_COVER,443.0,13865
344,2015-03-26 00:00:00,i,SELL_SHORT,424.0,4313
345,2015-03-26 00:00:00,IF,SELL,3946.4,970
346,2015-03-27 00:00:00,rb,SELL_SHORT,2468.0,1221
347,2015-03-30 00:00:00,rb,SELL_SHORT,2449.0,1309
348,2015-03-30 00:00:00,i,SELL_SHORT,404.0,4321
349,2015-03-30 00:00:00,IF,BUY,4178.8,478
350,2015-03-31 00:00:00,rb,SELL_SHORT,2411.0,1282
351,2015-03-31 00:00:00,i,SELL_SHORT,397.0,4361
352,2015-03-31 00:00:00,IF,SELL,4054.2,478
353,2015-04-01 00:00:00,rb,SELL_SHORT,2382.0,1294
354,2015-04-01 00:00:00,i,SELL_SHORT,385.0,4437
355,2015-04-02 00:00:00,rb,SELL_SHORT,2357.0,1346
356,2015-04-02 00:00:00,i,SELL_SHORT,372.0,4594
357,2015-04-03 00:00:00,i,BUY_TO_COVER,380.0,22026
358,2015-04-03 00:00:00,IF,BUY,4239.6,492
359,2015-04-07 00:00:00,rb,SELL_SHORT,2314.0,1374
360,2015-04-09 00:00:00,rb,SELL_SHORT,2285.0,1418
361,2015-04-10 00:00:00,i,SELL_SHORT,377.0,4621
362,2015-04-10 00:00:00,IF,BUY,4405.4,536
363,2015-04-13 00:00:00,rb,BUY_TO_COVER,2313.0,9244
364,2015-04-13 00:00:00,i,BUY_TO_COVER,391.0,4621
365,2015-04-20 00:00:00,IF,SELL,4543.8,1028
366,2015-04-22 00:00:00,IF,BUY,4771.6,473
367,2015-05-05 00:00:00,IF,SELL,4624.0,473
368,2015-05-20 00:00:00,IF,BUY,4781.8,431
369,2015-05-21 00:00:00,IF,BUY,4905.0,433
370,2015-05-28 00:00:00,IF,SELL,4967.8,864
371,2015-06-08 00:00:00,IF,BUY,5343.4,281
372,2015-06-10 00:00:00,i,BUY,447.0,4590
373,2015-06-15 00:00:00,i,SELL,440.0,4590
374,2015-06-15 00:00:00,IF,SELL,5190.4,281
375,2015-06-16 00:00:00,rb,SELL_SHORT,2238.0,1755
376,2015-06-18 00:00:00,rb,BUY_TO_COVER,2266.0,1755
377,2015-06-25 00:00:00,rb,SELL_SHORT,2247.0,1846
378,2015-06-26 00:00:00,rb,SELL_SHORT,2230.0,1851
379,2015-06-29 00:00:00,rb,SELL_SHORT,2163.0,1837
380,2015-06-29 00:00:00,IF,SELL_SHORT,4065.0,229
381,2015-06-30 00:00:00,IF,BUY_TO_COVER,4388.2,229
382,2015-07-01 00:00:00,rb,SELL_SHORT,2139.0,1722
383,2015-07-02 00:00:00,rb,BUY_TO_COVER,2174.0,7256
384,2015-07-03 00:00:00,IF,SELL_SHORT,4308.4,192
385,2015-07-06 00:00:00,rb,SELL_SHORT,2033.0,1377
386,2015-07-06 00:00:00,i,SELL_SHORT,372.0,4380
387,2015-07-07 00:00:00,rb,SELL_SHORT,1938.0,1310
388,2015-07-07 00:00:00,i,SELL_SHORT,341.5,4310
389,2015-07-07 00:00:00,IF,SELL_SHORT,3575.4,193
390,2015-07-08 00:00:00,rb,BUY_TO_COVER,1983.0,2687
391,2015-07-08 00:00:00,i,BUY_TO_COVER,356.0,8690
392,2015-07-08 00:00:00,IF,SELL_SHORT,3327.4,188
393,2015-07-09 00:00:00,IF,BUY_TO_COVER,3795.6,573
394,2015-08-24 00:00:00,IF,SELL_SHORT,3037.8,236
395,2015-08-25 00:00:00,IF,SELL_SHORT,2842.2,234
396,2015-08-27 00:00:00,IF,BUY_TO_COVER,3061.4,470
397,2015-09-07 00:00:00,rb,SELL_SHORT,1923.0,1439
398,2015-09-08 00:00:00,rb,BUY_TO_COVER,1975.0,1439
399,2015-09-28 00:00:00,rb,SELL_SHORT,1843.0,1700
400,2015-09-30 00:00:00,rb,SELL_SHORT,1841.0,1773
401,2015-10-09 00:00:00,rb,BUY_TO_COVER,1848.0,3473
402,2015-10-19 00:00:00,rb,SELL_SHORT,1815.0,1985
403,2015-10-23 00:00:00,rb,SELL_SHORT,1800.0,2038
404,2015-10-27 00:00:00,i,SELL_SHORT,354.5,5632
405,2015-10-28 00:00:00,i,SELL_SHORT,349.0,5708
406,2015-10-29 00:00:00,i,BUY_TO_COVER,353.5,11340
407,2015-10-30 00:00:00,rb,SELL_SHORT,1789.0,2385
408,2015-11-02 00:00:00,i,SELL_SHORT,344.0,5811
409,2015-11-03 00:00:00,rb,SELL_SHORT,1777.0,2588
410,2015-11-05 00:00:00,i,SELL_SHORT,339.0,6015
411,2015-11-09 00:00:00,rb,BUY_TO_COVER,1794.0,8996
412,2015-11-11 00:00:00,rb,SELL_SHORT,1765.0,2688
413,2015-11-16 00:00:00,i,SELL_SHORT,335.0,6680
414,2015-11-17 00:00:00,rb,SELL_SHORT,1749.0,3058
415,2015-11-17 00:00:00,i,SELL_SHORT,328.0,6806
416,2015-11-18 00:00:00,rb,SELL_SHORT,1725.0,3109
417,2015-11-19 00:00:00,rb,SELL_SHORT,1710.0,3152
418,2015-11-19 00:00:00,i,SELL_SHORT,319.0,7432
419,2015-11-20 00:00:00,rb,SELL_SHORT,1682.0,3250
